bus_id,route_id,route_short_name,route_long_name,stop_id,stop_name,stop_lat,stop_lon,departure_time,arrival_time,segment_distance_km,speed_kmh,traffic_level,source,destination,stop_sequence
BUS0249,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),5,Welcome,28.671986,77.277931,2025-09-12 12:39:18,2025-09-12 12:38:58,1.052451216654584,26.12982331004483,Low,Rithala,Shaheed Sthal (New Bus Adda),10
BUS0269,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),14,Kanhaiya Nagar,28.682386,77.162552,2025-09-12 12:50:25,2025-09-12 12:50:05,0.7331548610721916,21.99464583216575,Medium,Rithala,Shaheed Sthal (New Bus Adda),11
BUS0037,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),1,Dilshad Garden,28.675991,77.321495,2025-09-12 12:55:00,2025-09-12 12:54:40,0.8887800766290592,23.70080204344158,Medium,Rithala,Shaheed Sthal (New Bus Adda),12
BUS0182,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),226,Hindon River,28.673508,77.40654,2025-09-12 13:05:40,2025-09-12 13:05:20,1.488317969528735,30.97077855666732,Low,Rithala,Shaheed Sthal (New Bus Adda),13
BUS0199,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),227,Arthala,28.6772,77.391876,2025-09-12 13:16:09,2025-09-12 13:15:49,0.7630873676652618,26.16299546280898,Low,Rithala,Shaheed Sthal (New Bus Adda),14
BUS0279,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),7,Shastri Park,28.668451,77.250404,2025-09-12 13:59:05,2025-09-12 13:58:45,2.185575574802384,34.96920919683814,Low,Rithala,Shaheed Sthal (New Bus Adda),15
BUS0115,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),227,Arthala,28.6772,77.391876,2025-09-12 13:59:09,2025-09-12 13:58:49,0.7630873676652618,26.16299546280898,Low,Rithala,Shaheed Sthal (New Bus Adda),16
BUS0268,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),14,Kanhaiya Nagar,28.682386,77.162552,2025-09-12 14:30:45,2025-09-12 14:30:25,0.7331548610721916,21.99464583216575,Medium,Rithala,Shaheed Sthal (New Bus Adda),17
BUS0129,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),18,Pitampura,28.70318,77.132355,2025-09-12 14:49:55,2025-09-12 14:49:35,0.835161655150339,24.05265566832976,Medium,Rithala,Shaheed Sthal (New Bus Adda),18
BUS0295,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),15,Keshav Puram,28.688944,77.161774,2025-09-12 15:33:15,2025-09-12 15:32:55,1.176830108607295,26.47867744366414,Low,Rithala,Shaheed Sthal (New Bus Adda),19
BUS0034,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),228,Mohan Nagar,28.67856,77.384209,2025-09-12 15:52:04,2025-09-12 15:51:44,1.297838117242847,29.95011039791186,Low,Rithala,Shaheed Sthal (New Bus Adda),20
BUS0181,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),4,Shahdara,28.673531,77.28727,2025-09-12 15:54:20,2025-09-12 15:54:00,0.9271641676801278,22.25194002432307,Medium,Rithala,Shaheed Sthal (New Bus Adda),21
BUS0040,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),12,Shastri Nagar,28.670135,77.181679,2025-09-12 16:44:40,2025-09-12 16:44:20,1.175827597486675,27.30954419969051,Low,Rithala,Shaheed Sthal (New Bus Adda),22
BUS0264,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),226,Hindon River,28.673508,77.40654,2025-09-12 16:54:02,2025-09-12 16:53:42,1.488317969528735,30.97077855666732,Low,Rithala,Shaheed Sthal (New Bus Adda),23
BUS0185,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),2,Jhilmil,28.675648,77.312393,2025-09-12 17:03:35,2025-09-12 17:03:15,1.094597024061598,29.18925397497594,Low,Rithala,Shaheed Sthal (New Bus Adda),24
BUS0089,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),232,Shaheed Nagar,28.676615,77.333809,2025-09-12 18:04:38,2025-09-12 18:04:18,1.20331016562076,29.67066161804614,Low,Rithala,Shaheed Sthal (New Bus Adda),25
BUS0213,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),1,Dilshad Garden,28.675991,77.321495,2025-09-12 18:39:24,2025-09-12 18:39:04,0.8887800766290592,23.70080204344158,Medium,Rithala,Shaheed Sthal (New Bus Adda),26
BUS0088,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),12,Shastri Nagar,28.670135,77.181679,2025-09-12 18:42:04,2025-09-12 18:41:44,1.175827597486675,27.30954419969051,Low,Rithala,Shaheed Sthal (New Bus Adda),27
BUS0176,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),1,Dilshad Garden,28.675991,77.321495,2025-09-12 19:22:48,2025-09-12 19:22:28,0.8887800766290592,23.70080204344158,Medium,Rithala,Shaheed Sthal (New Bus Adda),28
BUS0026,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),16,Netaji Subash Place,28.695637,77.152428,2025-09-12 19:34:29,2025-09-12 19:34:09,1.194679274800032,28.67230259520077,Low,Rithala,Shaheed Sthal (New Bus Adda),29
BUS0255,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),231,Raj Bagh,28.677122,77.346466,2025-09-12 19:52:32,2025-09-12 19:52:12,1.236049481817347,29.66518756361634,Low,Rithala,Shaheed Sthal (New Bus Adda),30
BUS0106,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),5,Welcome,28.671986,77.277931,2025-09-12 19:56:42,2025-09-12 19:56:22,1.052451216654584,26.12982331004483,Low,Rithala,Shaheed Sthal (New Bus Adda),31
BUS0268,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),14,Kanhaiya Nagar,28.682386,77.162552,2025-09-12 20:10:09,2025-09-12 20:09:49,0.7331548610721916,21.99464583216575,Medium,Rithala,Shaheed Sthal (New Bus Adda),32
BUS0061,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),3,Mansrover park,28.675352,77.301178,2025-09-12 20:14:06,2025-09-12 20:13:46,1.371862532418809,32.92470077805142,Low,Rithala,Shaheed Sthal (New Bus Adda),33
BUS0231,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),5,Welcome,28.671986,77.277931,2025-09-12 20:33:54,2025-09-12 20:33:34,1.052451216654584,26.12982331004483,Low,Rithala,Shaheed Sthal (New Bus Adda),34
BUS0053,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),15,Keshav Puram,28.688944,77.161774,2025-09-12 20:57:45,2025-09-12 20:57:25,1.176830108607295,26.47867744366414,Low,Rithala,Shaheed Sthal (New Bus Adda),35
BUS0286,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),8,Kashmere Gate,28.667879,77.228012,2025-09-12 21:40:16,2025-09-12 21:39:56,1.104685855851527,27.42668331769308,Low,Rithala,Shaheed Sthal (New Bus Adda),36
BUS0003,1,R_RS,RED_Rithala to Shaheed Sthal (New Bus Adda),17,Kohat Enclave,28.697943,77.140465,2025-09-12 23:13:01,2025-09-12 23:12:41,0.9822340692648368,25.25744749538152,Low,Rithala,Shaheed Sthal (New Bus Adda),37
BUS0108,2,Y_HS,YELLOW_Huda City Centre to Samaypur Badli,64,Sultanpur,28.499214,77.161362,2025-09-12 20:34:23,2025-09-12 20:34:03,1.342046930077402,32.86645543046699,Low,Huda City Centre,Samaypur Badli,1
BUS0232,2,Y_HS,YELLOW_Huda City Centre to Samaypur Badli,37,Rohini Sector 18-19,28.740192,77.135574,2025-09-12 20:37:38,2025-09-12 20:37:18,2.77499378156871,50.96927353901712,Low,Huda City Centre,Samaypur Badli,2
BUS0089,2,Y_HS,YELLOW_Huda City Centre to Samaypur Badli,51,Patel Chowk,28.622967,77.212288,2025-09-12 20:44:00,2025-09-12 20:43:40,0.8892516765546106,24.81632585733797,Medium,Huda City Centre,Samaypur Badli,3
BUS0149,2,Y_HS,YELLOW_Huda City Centre to Samaypur Badli,46,Civil Lines,28.676945,77.224953,2025-09-12 20:44:18,2025-09-12 20:43:58,1.051340003609831,25.23216008663595,Low,Huda City Centre,Samaypur Badli,4
BUS0083,2,Y_HS,YELLOW_Huda City Centre to Samaypur Badli,66,Arjan Garh,28.48082,77.12587,2025-09-12 20:48:06,2025-09-12 20:47:46,2.315790484323193,38.59650807205323,Low,Huda City Centre,Samaypur Badli,5
BUS0110,2,Y_HS,YELLOW_Huda City Centre to Samaypur Badli,43,Guru Tegh Bahadur Nagar,28.698195,77.206985,2025-09-12 21:11:11,2025-09-12 21:10:51,0.6529022245277109,17.28270594338058,Medium,Huda City Centre,Samaypur Badli,6
BUS0123,2,Y_HS,YELLOW_Huda City Centre to Samaypur Badli,64,Sultanpur,28.499214,77.161362,2025-09-12 21:40:55,2025-09-12 21:40:35,1.342046930077402,32.86645543046699,Low,Huda City Centre,Samaypur Badli,7
BUS0156,2,Y_HS,YELLOW_Huda City Centre to Samaypur Badli,64,Sultanpur,28.499214,77.161362,2025-09-12 21:58:07,2025-09-12 21:57:47,1.342046930077402,32.86645543046699,Low,Huda City Centre,Samaypur Badli,8
BUS0186,2,Y_HS,YELLOW_Huda City Centre to Samaypur Badli,58,Green Park,28.559853,77.206902,2025-09-12 22:10:39,2025-09-12 22:10:19,1.835630928276949,35.9145181619403,Low,Huda City Centre,Samaypur Badli,9
BUS0189,2,Y_HS,YELLOW_Huda City Centre to Samaypur Badli,54,Lok Kalyan Marg,28.597519,77.209122,2025-09-12 22:43:04,2025-09-12 22:42:44,1.194725514056582,29.06089088245741,Low,Huda City Centre,Samaypur Badli,10
BUS0136,2,Y_HS,YELLOW_Huda City Centre to Samaypur Badli,60,Malviya Nagar,28.52817,77.205612,2025-09-12 22:56:05,2025-09-12 22:55:45,1.035498708792426,18.00867319639001,Medium,Huda City Centre,Samaypur Badli,11
BUS0138,2,Y_HS,YELLOW_Huda City Centre to Samaypur Badli,68,Sikanderpur,28.481352,77.092995,2025-09-12 23:12:24,2025-09-12 23:12:04,1.240886024520888,30.38904549847073,Low,Huda City Centre,Samaypur Badli,12
BUS0288,2,Y_HS,YELLOW_Huda City Centre to Samaypur Badli,36,Samaypur Badli,28.742872,77.146545,2025-09-12 23:18:41,2025-09-12 23:18:21,1.110359575547775,26.47214882100656,Low,Huda City Centre,Samaypur Badli,13
BUS0140,2,Y_HS,YELLOW_Huda City Centre to Samaypur Badli,65,Ghitorni,28.49383,77.149071,2025-09-12 23:21:40,2025-09-12 23:21:20,2.689651150455557,45.24646795158881,Low,Huda City Centre,Samaypur Badli,14
BUS0242,2,Y_HS,YELLOW_Huda City Centre to Samaypur Badli,68,Sikanderpur,28.481352,77.092995,2025-09-12 23:41:04,2025-09-12 23:40:44,1.240886024520888,30.38904549847073,Low,Huda City Centre,Samaypur Badli,15
BUS0012,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,58,Green Park,28.559853,77.206902,2025-09-12 05:37:43,2025-09-12 05:37:23,1.835630928276949,35.9145181619403,Low,Qutab Minar,Vishwavidyalaya,1
BUS0208,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,44,Vishwavidyalaya,28.694765,77.212418,2025-09-12 06:09:32,2025-09-12 06:09:12,1.182704915504931,28.01143220932732,Low,Qutab Minar,Vishwavidyalaya,2
BUS0178,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,55,Jorbagh,28.587234,77.212662,2025-09-12 06:14:01,2025-09-12 06:13:41,1.374414698357997,33.4317088789783,Low,Qutab Minar,Vishwavidyalaya,3
BUS0043,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,45,Vidhan Sabha,28.687845,77.221626,2025-09-12 06:32:06,2025-09-12 06:31:46,1.254725921862624,32.03555545181167,Low,Qutab Minar,Vishwavidyalaya,4
BUS0250,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,58,Green Park,28.559853,77.206902,2025-09-12 08:46:17,2025-09-12 08:45:57,1.835630928276949,35.9145181619403,Low,Qutab Minar,Vishwavidyalaya,5
BUS0233,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,60,Malviya Nagar,28.52817,77.205612,2025-09-12 09:44:15,2025-09-12 09:43:55,1.035498708792426,18.00867319639001,Medium,Qutab Minar,Vishwavidyalaya,6
BUS0294,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,46,Civil Lines,28.676945,77.224953,2025-09-12 10:11:40,2025-09-12 10:11:20,1.051340003609831,25.23216008663595,Low,Qutab Minar,Vishwavidyalaya,7
BUS0235,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,49,New Delhi,28.642944,77.222351,2025-09-12 10:11:49,2025-09-12 10:11:29,1.149685800481841,24.34628753961545,Medium,Qutab Minar,Vishwavidyalaya,8
BUS0110,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,44,Vishwavidyalaya,28.694765,77.212418,2025-09-12 11:35:29,2025-09-12 11:35:09,1.182704915504931,28.01143220932732,Low,Qutab Minar,Vishwavidyalaya,9
BUS0048,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,60,Malviya Nagar,28.52817,77.205612,2025-09-12 11:47:35,2025-09-12 11:47:15,1.035498708792426,18.00867319639001,Medium,Qutab Minar,Vishwavidyalaya,10
BUS0198,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,50,Rajiv Chowk,28.632896,77.219574,2025-09-12 11:47:39,2025-09-12 11:47:19,1.313252496366804,30.90005873804245,Low,Qutab Minar,Vishwavidyalaya,11
BUS0038,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,58,Green Park,28.559853,77.206902,2025-09-12 11:53:45,2025-09-12 11:53:25,1.835630928276949,35.9145181619403,Low,Qutab Minar,Vishwavidyalaya,12
BUS0143,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,52,Central Secretariat,28.614973,77.212029,2025-09-12 12:48:16,2025-09-12 12:47:56,0.4292304179934683,13.79669200693291,Medium,Qutab Minar,Vishwavidyalaya,13
BUS0132,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,44,Vishwavidyalaya,28.694765,77.212418,2025-09-12 13:52:14,2025-09-12 13:51:54,1.182704915504931,28.01143220932732,Low,Qutab Minar,Vishwavidyalaya,14
BUS0240,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,55,Jorbagh,28.587234,77.212662,2025-09-12 14:05:05,2025-09-12 14:04:45,1.374414698357997,33.4317088789783,Low,Qutab Minar,Vishwavidyalaya,15
BUS0074,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,56,Dilli Haat - INA,28.575195,77.209473,2025-09-12 14:15:10,2025-09-12 14:14:50,0.7920642776724007,21.43933383173415,Medium,Qutab Minar,Vishwavidyalaya,16
BUS0297,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,8,Kashmere Gate,28.667879,77.228012,2025-09-12 14:35:03,2025-09-12 14:34:43,1.277057765585568,29.47056382120541,Low,Qutab Minar,Vishwavidyalaya,17
BUS0131,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,47,Chandni Chowk,28.656443,77.229218,2025-09-12 15:31:01,2025-09-12 15:30:41,0.8094810101946446,19.17191866250474,Medium,Qutab Minar,Vishwavidyalaya,18
BUS0072,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,62,Qutab Minar,28.512714,77.185791,2025-09-12 15:42:25,2025-09-12 15:42:05,1.3257362319717825,28.01143220932732,Low,Qutab Minar,Vishwavidyalaya,19
BUS0211,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,56,Dilli Haat - INA,28.575195,77.209473,2025-09-12 15:43:01,2025-09-12 15:42:41,0.7920642776724007,21.43933383173415,Medium,Qutab Minar,Vishwavidyalaya,20
BUS0242,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,46,Civil Lines,28.676945,77.224953,2025-09-12 16:01:13,2025-09-12 16:00:53,1.051340003609831,25.23216008663595,Low,Qutab Minar,Vishwavidyalaya,21
BUS0098,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,54,Lok Kalyan Marg,28.597519,77.209122,2025-09-12 16:29:47,2025-09-12 16:29:27,1.194725514056582,29.06089088245741,Low,Qutab Minar,Vishwavidyalaya,22
BUS0252,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,54,Lok Kalyan Marg,28.597519,77.209122,2025-09-12 16:42:20,2025-09-12 16:42:00,1.194725514056582,29.06089088245741,Low,Qutab Minar,Vishwavidyalaya,23
BUS0257,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,45,Vidhan Sabha,28.687845,77.221626,2025-09-12 17:23:03,2025-09-12 17:22:43,1.254725921862624,32.03555545181167,Low,Qutab Minar,Vishwavidyalaya,24
BUS0003,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,46,Civil Lines,28.676945,77.224953,2025-09-12 17:24:53,2025-09-12 17:24:33,1.051340003609831,25.23216008663595,Low,Qutab Minar,Vishwavidyalaya,25
BUS0100,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,56,Dilli Haat - INA,28.575195,77.209473,2025-09-12 19:22:34,2025-09-12 19:22:14,0.7920642776724007,21.43933383173415,Medium,Qutab Minar,Vishwavidyalaya,26
BUS0032,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,53,Udyog Bhawan,28.611525,77.210052,2025-09-12 19:34:57,2025-09-12 19:34:37,1.560040213217055,37.19301170583709,Low,Qutab Minar,Vishwavidyalaya,27
BUS0168,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,47,Chandni Chowk,28.656443,77.229218,2025-09-12 20:28:26,2025-09-12 20:28:06,0.8094810101946446,19.17191866250474,Medium,Qutab Minar,Vishwavidyalaya,28
BUS0004,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,52,Central Secretariat,28.614973,77.212029,2025-09-12 20:40:57,2025-09-12 20:40:37,0.4292304179934683,13.79669200693291,Medium,Qutab Minar,Vishwavidyalaya,29
BUS0291,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,50,Rajiv Chowk,28.632896,77.219574,2025-09-12 20:50:35,2025-09-12 20:50:15,1.313252496366804,30.90005873804245,Low,Qutab Minar,Vishwavidyalaya,30
BUS0168,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,59,Hauz Khas,28.543346,77.206673,2025-09-12 21:21:43,2025-09-12 21:21:23,1.690674168397489,32.72272583995139,Low,Qutab Minar,Vishwavidyalaya,31
BUS0126,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,61,Saket,28.520638,77.199379,2025-09-12 21:36:05,2025-09-12 21:35:45,1.5933924255427,30.19059332607221,Low,Qutab Minar,Vishwavidyalaya,32
BUS0065,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,46,Civil Lines,28.676945,77.224953,2025-09-12 22:41:55,2025-09-12 22:41:35,1.051340003609831,25.23216008663595,Low,Qutab Minar,Vishwavidyalaya,33
BUS0053,3,Y_QV,YELLOW_Qutab Minar to Vishwavidyalaya,44,Vishwavidyalaya,28.694765,77.212418,2025-09-12 23:41:11,2025-09-12 23:40:51,1.182704915504931,28.01143220932732,Low,Qutab Minar,Vishwavidyalaya,34
BUS0244,4,Y_HQ,YELLOW_Huda City Centre to Qutab Minar,66,Arjan Garh,28.48082,77.12587,2025-09-12 06:46:02,2025-09-12 06:45:42,2.315790484323193,38.59650807205323,Low,Huda City Centre,Qutab Minar,1
BUS0158,4,Y_HQ,YELLOW_Huda City Centre to Qutab Minar,62,Qutab Minar,28.512714,77.185791,2025-09-12 07:00:24,2025-09-12 07:00:04,1.266552285823267,28.85815334787192,Low,Huda City Centre,Qutab Minar,2
BUS0147,4,Y_HQ,YELLOW_Huda City Centre to Qutab Minar,65,Ghitorni,28.49383,77.149071,2025-09-12 07:06:48,2025-09-12 07:06:28,2.689651150455557,45.24646795158881,Low,Huda City Centre,Qutab Minar,3
BUS0093,4,Y_HQ,YELLOW_Huda City Centre to Qutab Minar,70,IFFCO Chowk,28.472137,77.072502,2025-09-12 07:29:41,2025-09-12 07:29:21,1.447670036911103,37.22580094914264,Low,Huda City Centre,Qutab Minar,4
BUS0093,4,Y_HQ,YELLOW_Huda City Centre to Qutab Minar,66,Arjan Garh,28.48082,77.12587,2025-09-12 08:14:54,2025-09-12 08:14:34,2.315790484323193,38.59650807205323,Low,Huda City Centre,Qutab Minar,5
BUS0193,4,Y_HQ,YELLOW_Huda City Centre to Qutab Minar,67,Gurudronacharya,28.482075,77.102219,2025-09-12 11:53:18,2025-09-12 11:52:58,0.9051029561030774,25.86008446008793,Low,Huda City Centre,Qutab Minar,6
BUS0095,4,Y_HQ,YELLOW_Huda City Centre to Qutab Minar,71,Huda City Centre,28.459118,77.072586,2025-09-12 11:58:33,2025-09-12 11:58:13,1.58548281863885,32.70191689861661,Low,Huda City Centre,Qutab Minar,7
BUS0244,4,Y_HQ,YELLOW_Huda City Centre to Qutab Minar,70,IFFCO Chowk,28.472137,77.072502,2025-09-12 12:21:25,2025-09-12 12:21:05,1.447670036911103,37.22580094914264,Low,Huda City Centre,Qutab Minar,8
BUS0290,4,Y_HQ,YELLOW_Huda City Centre to Qutab Minar,64,Sultanpur,28.499214,77.161362,2025-09-12 13:01:11,2025-09-12 13:00:51,1.342046930077402,32.86645543046699,Low,Huda City Centre,Qutab Minar,9
BUS0300,4,Y_HQ,YELLOW_Huda City Centre to Qutab Minar,62,Qutab Minar,28.512714,77.185791,2025-09-12 13:06:40,2025-09-12 13:06:20,1.266552285823267,28.85815334787192,Low,Huda City Centre,Qutab Minar,10
BUS0096,4,Y_HQ,YELLOW_Huda City Centre to Qutab Minar,66,Arjan Garh,28.48082,77.12587,2025-09-12 13:12:22,2025-09-12 13:12:02,2.315790484323193,38.59650807205323,Low,Huda City Centre,Qutab Minar,11
BUS0209,4,Y_HQ,YELLOW_Huda City Centre to Qutab Minar,68,Sikanderpur,28.481352,77.092995,2025-09-12 13:18:08,2025-09-12 13:17:48,1.240886024520888,30.38904549847073,Low,Huda City Centre,Qutab Minar,12
BUS0036,4,Y_HQ,YELLOW_Huda City Centre to Qutab Minar,67,Gurudronacharya,28.482075,77.102219,2025-09-12 13:46:02,2025-09-12 13:45:42,0.9051029561030774,25.86008446008793,Low,Huda City Centre,Qutab Minar,13
BUS0269,4,Y_HQ,YELLOW_Huda City Centre to Qutab Minar,71,Huda City Centre,28.459118,77.072586,2025-09-12 15:39:45,2025-09-12 15:39:25,2.072354595761745,32.70191689861661,Low,Huda City Centre,Qutab Minar,14
BUS0056,4,Y_HQ,YELLOW_Huda City Centre to Qutab Minar,62,Qutab Minar,28.512714,77.185791,2025-09-12 15:47:12,2025-09-12 15:46:52,1.266552285823267,28.85815334787192,Low,Huda City Centre,Qutab Minar,15
BUS0279,4,Y_HQ,YELLOW_Huda City Centre to Qutab Minar,64,Sultanpur,28.499214,77.161362,2025-09-12 15:53:11,2025-09-12 15:52:51,1.342046930077402,32.86645543046699,Low,Huda City Centre,Qutab Minar,16
BUS0104,4,Y_HQ,YELLOW_Huda City Centre to Qutab Minar,66,Arjan Garh,28.48082,77.12587,2025-09-12 15:55:46,2025-09-12 15:55:26,2.315790484323193,38.59650807205323,Low,Huda City Centre,Qutab Minar,17
BUS0076,4,Y_HQ,YELLOW_Huda City Centre to Qutab Minar,64,Sultanpur,28.499214,77.161362,2025-09-12 16:44:47,2025-09-12 16:44:27,1.342046930077402,32.86645543046699,Low,Huda City Centre,Qutab Minar,18
BUS0272,4,Y_HQ,YELLOW_Huda City Centre to Qutab Minar,70,IFFCO Chowk,28.472137,77.072502,2025-09-12 16:59:29,2025-09-12 16:59:09,1.447670036911103,37.22580094914264,Low,Huda City Centre,Qutab Minar,19
BUS0059,4,Y_HQ,YELLOW_Huda City Centre to Qutab Minar,64,Sultanpur,28.499214,77.161362,2025-09-12 17:16:19,2025-09-12 17:15:59,1.342046930077402,32.86645543046699,Low,Huda City Centre,Qutab Minar,20
BUS0175,4,Y_HQ,YELLOW_Huda City Centre to Qutab Minar,69,MG Road,28.47967,77.080444,2025-09-12 18:36:41,2025-09-12 18:36:21,1.142024759174883,25.69555708143486,Low,Huda City Centre,Qutab Minar,21
BUS0230,4,Y_HQ,YELLOW_Huda City Centre to Qutab Minar,71,Huda City Centre,28.459118,77.072586,2025-09-12 21:25:57,2025-09-12 21:25:37,2.315790484323193,32.70191689861661,Low,Huda City Centre,Qutab Minar,22
